,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,61,21,.744,—,116.3,107.2,8.28,2025,Boston Celtics* (2)
1,51,31,.622,10.0,115.8,111.7,3.59,2025,New York Knicks* (3)
2,30,52,.366,31.0,110.9,115.2,-4.40,2025,Toronto Raptors (11)
3,26,56,.317,35.0,105.1,112.2,-6.95,2025,Brooklyn Nets (12)
4,24,58,.293,37.0,109.6,115.8,-6.29,2025,Philadelphia 76ers (13)
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2025,Central Division
6,64,18,.780,—,121.9,112.4,8.81,2025,Cleveland Cavaliers* (1)
7,50,32,.610,14.0,117.4,115.1,1.68,2025,Indiana Pacers* (4)
8,48,34,.585,16.0,115.5,113.0,2.12,2025,Milwaukee Bucks* (5)
9,44,38,.537,20.0,115.5,113.6,1.73,2025,Detroit Pistons* (6)
10,39,43,.476,25.0,117.8,119.4,-1.83,2025,Chicago Bulls* (9)
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2025,Southeast Division
12,41,41,.500,—,105.4,105.5,-0.70,2025,Orlando Magic* (7)
13,40,42,.488,1.0,118.2,119.3,-1.41,2025,Atlanta Hawks* (8)
14,37,45,.451,4.0,110.6,110.0,0.11,2025,Miami Heat* (10)
15,19,63,.232,22.0,105.1,114.2,-9.10,2025,Charlotte Hornets (14)
16,18,64,.220,23.0,108.0,120.4,-12.14,2025,Washington Wizards (15)
17,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2025,Northwest Division
18,68,14,.829,—,120.5,107.6,12.70,2025,Oklahoma City Thunder* (1)
19,50,32,.610,18.0,120.8,116.9,3.97,2025,Denver Nuggets* (4)
20,49,33,.598,19.0,114.3,109.3,5.15,2025,Minnesota Timberwolves* (6)
21,36,46,.439,32.0,110.9,113.9,-2.67,2025,Portland Trail Blazers (12)
22,17,65,.207,51.0,111.9,121.2,-8.51,2025,Utah Jazz (15)
23,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2025,Pacific Division
24,50,32,.610,—,113.4,112.2,1.45,2025,Los Angeles Lakers* (3)
25,50,32,.610,—,112.9,108.2,4.84,2025,Los Angeles Clippers* (5)
26,48,34,.585,2.0,113.8,110.5,3.56,2025,Golden State Warriors* (7)
27,40,42,.488,10.0,115.7,115.3,0.58,2025,Sacramento Kings* (9)
28,36,46,.439,14.0,113.6,116.6,-2.55,2025,Phoenix Suns (11)
29,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2025,Southwest Division
30,52,30,.634,—,114.3,109.8,4.97,2025,Houston Rockets* (2)
31,48,34,.585,4.0,121.7,116.9,4.79,2025,Memphis Grizzlies* (8)
32,39,43,.476,13.0,114.2,115.4,-0.74,2025,Dallas Mavericks* (10)
33,34,48,.415,18.0,113.9,116.7,-2.45,2025,San Antonio Spurs (13)
34,21,61,.256,31.0,109.8,119.3,-8.59,2025,New Orleans Pelicans (14)
